[[[(('h', 8), '*OWDY')]], [[(('d', 11), 'FAME(D)')]]]

         36589 function calls (36447 primitive calls) in 0.021 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2061(_fill_cache)
        2    0.000    0.000    0.000    0.000 {built-in method print}
       10    0.000    0.000    0.000    0.000 {built-in method is_builtin}
       18    0.000    0.000    0.000    0.000 scrabble_game.py:232(get_rack_tile_index)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(spec_from_loader)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      105    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       30    0.000    0.000    0.000    0.000 scrabble_board.py:86(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2102(path_hook_for_FileFinder)
      102    0.000    0.000    0.000    0.000 scrabble_game.py:246(<lambda>)
        1    0.000    0.000    0.000    0.000 decoder.py:349(raw_decode)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2124(__exit__)
       13    0.000    0.000    0.000    0.000 {built-in method getcwd}
       88    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        9    0.000    0.000    0.000    0.000 sre_compile.py:418(_simple)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:293(_lock_unlock_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:45(_r_long)
        6    0.000    0.000    0.000    0.000 hashlib.py:98(__get_openssl_constructor)
       94    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method listdir}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__exit__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:226(getwhile)
       35    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
        1    0.000    0.000    0.000    0.000 config.py:147(<dictcomp>)
        4    0.000    0.000    0.000    0.000 sre_compile.py:408(<listcomp>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:790(__init__)
      102    0.000    0.000    0.000    0.000 scrabble_game.py:248(<lambda>)
       19    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1726(is_package)
       56    0.000    0.000    0.000    0.000 scrabble_game.py:42(<genexpr>)
        2    0.000    0.000    0.000    0.000 scrabble_board.py:106(<listcomp>)
       52    0.000    0.000    0.000    0.000 scrabble_board.py:71(__setitem__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f96113f3840}
        8    0.000    0.000    0.000    0.000 {built-in method _count_elements}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1336(find_spec)
       48    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 scrabble_game.py:205(move_successfully_challenged)
       41    0.000    0.000    0.000    0.000 sre_parse.py:140(__len__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1979(__init__)
        7    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:309(_escape)
        1    0.000    0.000    0.000    0.000 random.py:68(Random)
       26    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
       25    0.000    0.000    0.000    0.000 sre_parse.py:152(append)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:257(__init__)
        4    0.000    0.000    0.000    0.000 scrabble_recover.py:169(<genexpr>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:732(__enter__)
       32    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 scrabble_game.py:452(_cancel_bonus_squares)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:34(_relax_case)
        6    0.000    0.000    0.000    0.000 {built-in method compile}
       50    0.000    0.000    0.000    0.000 {built-in method release_lock}
        1    0.000    0.000    0.000    0.000 decoder.py:287(__init__)
       30    0.000    0.000    0.000    0.000 {built-in method get_ident}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1591(__init__)
        9    0.000    0.000    0.000    0.000 sre_parse.py:148(__setitem__)
